GPU time: 12725.382s for 4571
building_id,mean,std,%>18,%<15
4852,16.4846,6.9623,48.6,41.9
4853,14.7999,7.3612,40.0,51.8
4856,16.3628,6.9774,47.9,43.0
4857,15.5395,7.2019,43.8,47.6
4858,14.8836,7.5457,42.3,50.2
4859,14.6140,7.5343,39.6,52.7
48593,15.6744,7.1775,44.9,45.9
48596,13.9984,7.2552,35.0,56.8
4860,14.3426,6.7801,35.1,55.2
4861,15.2001,6.7667,40.1,48.4
4862,12.7316,6.5062,26.3,64.1
4863,17.2582,6.7244,53.2,37.2
4864,12.7637,6.9911,29.1,62.0
4870,15.9244,7.1835,46.4,44.8
4872,19.8973,5.5872,71.3,19.9
48728,15.3093,7.4908,43.3,49.2
4873,19.7511,5.8110,69.7,21.3
48771,12.7145,6.7430,28.3,63.7
48781,13.2256,6.6994,30.2,59.2
48784,12.5337,6.5391,26.2,63.9
48788,14.5705,6.7098,35.6,53.7
48789,15.6023,7.2961,44.3,47.3
48792,14.8581,7.0088,38.6,52.3
48793,16.0130,7.1457,46.2,45.2
48797,13.5957,6.3726,32.0,57.0
4880,15.1084,7.1188,42.1,48.7
4881,13.3038,6.6647,30.0,59.8
48813,17.7253,7.2127,59.2,33.0
48817,15.2565,6.3757,38.4,50.3
4882,9.4557,5.7695,12.8,82.8
48836,12.7232,6.9148,27.9,64.0
48837,11.2417,6.6907,21.5,70.0
48838,10.7792,6.6970,20.2,72.5
4884,13.0567,7.1732,30.7,62.5
48841,17.6013,6.9074,55.6,35.3
48847,17.9912,6.6806,58.3,33.2
4885,17.7033,6.1731,55.0,33.8
48854,13.4302,6.9337,31.4,60.6
48855,15.9569,6.7191,43.8,44.9
48857,16.5227,6.6212,47.6,41.3
48863,17.0308,7.1382,52.6,38.9
48864,17.0853,7.1246,52.9,38.6
48865,17.2549,6.6941,53.8,36.0
48867,10.2330,6.7239,18.2,76.4
48868,16.5959,6.9715,50.7,39.7
48879,14.0304,6.2240,30.4,57.6
4888,13.2768,6.6950,30.6,59.4
48880,13.9426,6.3170,30.2,58.4
48894,12.9185,6.4370,26.9,64.1
489,13.3428,6.0729,26.7,60.3
48946,15.6527,6.7581,43.1,46.7
48947,15.6527,6.7581,43.1,46.7
48959,15.4079,7.2103,42.3,49.7
48960,15.3927,7.2217,42.2,49.7
48963,16.5456,7.1150,48.6,42.8
48966,13.2213,6.9913,31.5,60.1
48969,13.4536,7.2079,33.3,58.7
48977,13.4813,7.2212,33.4,58.4
48999,16.8987,6.8771,50.9,39.7
49003,14.0802,6.7293,33.8,55.6
49004,16.7983,6.8722,50.5,39.9
49006,16.7983,6.8722,50.5,39.9
4901,15.1419,7.1930,41.5,50.4
49018,12.9944,7.2137,31.3,61.4
49035,16.3869,6.8556,48.2,42.2
49036,16.7458,6.4499,49.3,39.4
4905,14.2551,6.5715,35.3,53.6
49051,14.0389,6.1877,30.0,57.5
49052,13.8805,6.2625,29.7,58.8
49055,15.8765,6.9899,46.0,44.9
49064,17.1619,6.5007,52.7,36.5
49116,15.6560,6.9477,44.3,46.1
49120,15.9697,7.0337,46.1,44.6
4914,10.6985,6.5235,18.6,75.3
49147,14.3889,7.0631,37.6,53.0
4916,14.0495,6.7192,33.4,56.8
49163,12.0930,6.4032,22.6,68.2
49164,12.6212,6.4432,24.8,65.6
4917,14.2261,6.6868,34.2,55.9
4918,12.8718,6.5645,27.3,63.5
49180,16.7381,6.9784,50.3,40.2
49183,14.0583,7.1412,35.5,56.2
49186,16.6848,6.7796,49.3,40.0
4919,14.5130,6.7260,35.8,54.1
4920,10.4817,5.7634,14.4,78.2
4921,14.4981,6.7504,35.9,54.2
4922,15.6515,6.7461,42.0,47.7
49221,16.0358,7.3881,49.5,42.0
49225,14.9429,7.1569,40.4,51.0
49297,11.8607,6.7925,24.5,67.4
49301,14.6375,7.0767,37.9,53.3
49302,14.6461,7.0696,37.9,53.3
49303,14.7823,6.9706,38.1,53.0
49304,14.7823,6.9706,38.1,53.0
49305,14.7823,6.9706,38.1,53.0
49307,16.8080,6.5055,49.9,38.8
49310,14.5287,6.7488,35.4,55.0
49311,14.3015,6.8971,35.2,55.5
49312,16.9193,6.3863,52.3,37.1
49314,16.4846,6.5575,49.0,40.3
49318,17.1667,6.3245,51.7,36.5
49320,16.6878,6.7576,50.2,40.0
49322,18.0954,6.0541,59.2,30.2
49324,16.9421,6.8973,52.1,39.0
49326,18.1566,6.0605,59.6,29.9
49328,16.9362,6.8391,51.5,39.1
49330,18.3472,6.0022,60.9,28.8
49333,19.7265,5.8516,70.1,21.7
49338,19.7089,5.8175,70.0,21.7
49343,19.9798,5.6942,71.7,20.1
49359,17.1004,6.9666,52.7,38.2
49366,14.0292,6.8033,33.2,57.6
49368,14.4759,7.1920,37.6,53.2
49369,14.5632,7.1941,38.4,52.6
4937,15.6850,6.7974,43.1,46.9
49371,14.9750,7.3606,42.2,50.0
49375,14.8514,6.9380,38.0,51.5
49376,13.9758,7.2600,35.5,57.1
49377,16.2704,6.7225,46.7,42.7
49378,12.7367,6.4976,25.3,64.6
4938,14.6233,6.7723,35.8,54.1
4939,15.4067,6.7746,40.8,48.8
4940,15.2106,7.0068,39.8,50.7
4941,14.6532,6.7908,36.1,53.7
4942,13.4819,7.0874,32.2,59.5
4943,14.5566,6.8965,36.4,54.5
49430,12.4945,6.2664,23.6,66.6
49431,16.2263,6.8193,47.0,42.6
49433,16.1569,6.7528,46.8,42.6
49436,15.7966,7.0727,45.2,46.0
4944,14.1676,6.6844,33.3,56.8
49440,14.3724,6.7191,35.5,53.4
49445,13.6364,6.5330,29.5,60.4
49447,14.4597,7.1959,36.9,55.1
4945,13.8421,6.7168,31.9,58.6
49452,14.4344,7.0672,36.9,53.8
4946,14.6985,6.9833,37.6,53.6
4947,13.9230,6.7465,32.8,57.8
49475,10.7682,6.3936,19.0,75.0
49476,12.3212,6.2133,23.8,67.1
49477,12.3562,6.2000,24.0,67.0
49479,16.0972,7.1187,46.3,44.3
4948,13.7582,6.6254,31.4,58.8
49480,14.3947,7.4824,37.7,55.1
4949,12.0773,6.4491,23.3,68.6
495,13.0610,6.9811,30.2,60.7
4950,11.2604,6.1934,19.5,73.1
49501,9.4055,6.4090,15.2,80.1
49502,15.5481,6.3686,42.1,47.0
49503,15.5542,6.3732,42.2,46.9
49515,18.8329,6.2944,65.6,25.7
49516,16.0967,6.6134,45.6,43.5
49517,16.1742,6.5850,45.9,43.2
49518,16.1187,6.6197,45.7,43.4
49519,16.1675,6.5944,45.9,43.2
49520,16.1067,6.6337,45.7,43.4
4953,18.6301,6.1340,60.2,29.2
49532,12.4329,6.8626,27.5,64.7
49541,14.5467,6.8563,36.7,54.5
49551,20.0992,5.3070,75.7,16.6
49552,19.7226,5.4009,72.8,18.1
49553,19.6496,5.4994,72.3,18.7
49581,13.9179,7.0592,34.4,55.9
496,11.9983,7.3193,28.3,65.3
49602,15.3413,6.8100,41.7,48.3
49608,15.6766,6.4895,41.5,47.9
49612,13.4928,6.7277,32.2,58.8
49615,15.2974,6.8215,41.3,48.4
49616,15.8076,6.6582,45.0,44.6
49622,15.3669,6.8436,40.6,49.0
49632,14.2700,6.4221,34.7,53.3
49633,14.1281,6.4087,34.0,54.2
49634,14.2872,6.4273,34.9,53.2
49641,12.1393,6.6609,25.3,65.3
49647,16.0721,7.1589,46.6,44.5
